0,::2022-05-21 05:46:41::,Norm,Time is:,31,ms delay.
0,::2022-05-21 05:46:41::,Optm,Time is:,11,ms delay.
0,::2022-05-21 05:46:41::,Norm,Time is:,11,ms delay.
0,::2022-05-21 05:46:41::,Optm,Time is:,10,ms delay.
0,::2022-05-21 05:46:41::,Norm,Time is:,11,ms delay.
0,::2022-05-21 05:46:41::,Optm,Time is:,11,ms delay.
0,::2022-05-21 05:46:41::,Norm,Time is:,13,ms delay.
0,::2022-05-21 05:46:41::,Optm,Time is:,14,ms delay.
0,::2022-05-21 05:46:41::,Norm,Time is:,14,ms delay.
0,::2022-05-21 05:46:41::,Optm,Time is:,21,ms delay.
0,::2022-05-21 05:46:41::,Norm,Time is:,19,ms delay.
0,::2022-05-21 05:46:41::,Optm,Time is:,21,ms delay.
0,::2022-05-21 05:46:41::,Norm,Time is:,25,ms delay.
0,::2022-05-21 05:46:41::,Optm,Time is:,27,ms delay.
0,::2022-05-21 05:46:41::,Norm,Time is:,25,ms delay.
0,::2022-05-21 05:46:41::,Optm,Time is:,28,ms delay.
0,::2022-05-21 05:46:41::,Norm,Time is:,37,ms delay.
0,::2022-05-21 05:46:42::,Optm,Time is:,35,ms delay.
0,::2022-05-21 05:46:42::,Norm,Time is:,40,ms delay.
0,::2022-05-21 05:46:42::,Optm,Time is:,33,ms delay.
